id,name,industry,keywords,primary,secondary,accent,background,surface,text,text_secondary,border,success,error,warning,dark_primary,dark_background,dark_surface,dark_text,notes
101,Deep Sea,Travel,travel deep sea navy immersive,#0C4A6E,#075985,#0EA5E9,#EFF9FF,#FFFFFF,#0A2540,#0C4A6E,#BAE6FD,#22C55E,#EF4444,#F59E0B,#38BDF8,#050E1A,#082234,#E0F2FE,Deep sea travel experience
102,Clean White SaaS,SaaS,saas white minimal clean light,#6366F1,#4F46E5,#818CF8,#FFFFFF,#F8FAFC,#111827,#4B5563,#E5E7EB,#16A34A,#EF4444,#F59E0B,#818CF8,#1E1B4B,#0F172A,#F5F5F5,Ultra-clean white SaaS
103,Industrial Dark,Industrial,industrial dark professional machine,#374151,#1F2937,#6B7280,#030712,#111827,#F9FAFB,#9CA3AF,#374151,#22C55E,#EF4444,#F59E0B,#9CA3AF,#000000,#030712,#F9FAFB,Industrial dark machine
104,Garden Fresh,Lifestyle,lifestyle garden fresh botanical green,#22C55E,#16A34A,#86EFAC,#F0FDF4,#FFFFFF,#052E16,#14532D,#DCFCE7,#16A34A,#EF4444,#CA8A04,#4ADE80,#011A0A,#052E16,#ECFDF5,Fresh botanical garden
105,Night Sky,Entertainment,entertainment night sky dark stars,#312E81,#1E1B4B,#818CF8,#030310,#0F0E2E,#EDE9FE,#A78BFA,#1E1B4B,#22C55E,#EF4444,#F59E0B,#C4B5FD,#010108,#030310,#F5F3FF,Atmospheric night sky
106,Slate Professional,B2B,b2b professional slate clean efficient,#475569,#334155,#3B82F6,#F1F5F9,#FFFFFF,#0F172A,#334155,#CBD5E1,#22C55E,#EF4444,#F59E0B,#94A3B8,#020617,#0F172A,#F1F5F9,Clean slate B2B
107,Sunrise Orange,Consumer,consumer fresh sunrise morning energy,#F97316,#EA580C,#FED7AA,#FFF8EE,#FFFFFF,#1C0700,#7C2D12,#FFEDD5,#16A34A,#EF4444,#D97706,#FB923C,#0A0400,#1C0700,#FEF7EE,Energizing sunrise consumer
108,Midnight Emerald,Luxury,luxury midnight emerald dark gem,#065F46,#047857,#34D399,#010E08,#021810,#ECFDF5,#6EE7B7,#0D3B26,#16A34A,#EF4444,#CA8A04,#6EE7B7,#000A05,#010E08,#D1FAE5,Luxurious midnight emerald
109,Bold Red,Consumer,consumer bold red action energetic,#DC2626,#B91C1C,#F87171,#FFF5F5,#FFFFFF,#450A0A,#7F1D1D,#FEE2E2,#16A34A,#EF4444,#F59E0B,#EF4444,#270606,#450A0A,#FFF5F5,Bold action red consumer
110,Tiffany Blue,Luxury,luxury tiffany blue brand premium,#0ABAB5,#088C88,#5EEAD4,#F0FDFD,#FFFFFF,#022C2B,#0F4540,#CCFBF8,#16A34A,#EF4444,#F59E0B,#2DD4BF,#010F0F,#022C2B,#ECFDFD,Iconic Tiffany blue luxury
111,Dark Neon Blue,Entertainment,entertainment dark neon blue electric,#1D4ED8,#1E40AF,#00D4FF,#040818,#0A1428,#EFF6FF,#93C5FD,#0A1F3F,#22C55E,#EF4444,#F59E0B,#38BDF8,#010309,#040818,#DBEAFE,Dark electric neon entertainment
112,Warm Ivory,Premium,premium warm ivory elegant soft,#D6BBAE,#C4A898,#B45309,#FEFCF9,#FFFFFF,#2D1A10,#4A2E20,#F0E8E0,#16A34A,#EF4444,#D97706,#C9A882,#150A06,#2D1A10,#FEF9F4,Warm ivory premium palette
113,Purple Haze,Creative,creative purple haze dreamy gradient,#8B5CF6,#7C3AED,#D946EF,#FAF5FF,#FFFFFF,#2E1065,#4C1D95,#EDE9FE,#22C55E,#EF4444,#F59E0B,#C084FC,#1E0A3F,#2E1065,#FAF5FF,Dreamy purple creative
114,Mint Fresh,Health,health mint fresh clean modern,#34D399,#10B981,#6EE7B7,#F0FDF4,#FFFFFF,#022C22,#064E3B,#A7F3D0,#16A34A,#EF4444,#CA8A04,#6EE7B7,#011A14,#022C22,#D1FAE5,Fresh mint health palette
115,Onyx Black,Luxury,luxury onyx black minimal prestige,#171717,#0A0A0A,#525252,#FAFAFA,#FFFFFF,#000000,#171717,#E5E5E5,#22C55E,#EF4444,#F59E0B,#737373,#000000,#050505,#FAFAFA,Ultra minimal onyx luxury
116,Warm Amber,Food,food warm amber honey cozy,#92400E,#78350F,#F59E0B,#FFF9E6,#FFFFFF,#1C0700,#451A03,#FEF3C7,#16A34A,#EF4444,#D97706,#F59E0B,#0A0400,#1C0700,#FFFBEB,Warm amber food palette
117,Cool Gray,Neutral,neutral cool gray professional minimal,#374151,#1F2937,#9CA3AF,#F9FAFB,#FFFFFF,#111827,#374151,#E5E7EB,#22C55E,#EF4444,#F59E0B,#9CA3AF,#030712,#111827,#F9FAFB,Versatile cool gray
118,Vivid Violet,Creative,creative vivid violet bold artistic,#7C3AED,#5B21B6,#A855F7,#FAF5FF,#FFFFFF,#2E1065,#4C1D95,#EDE9FE,#16A34A,#EF4444,#F59E0B,#C084FC,#1E0A3F,#2E1065,#F5F3FF,Vivid creative violet
119,Deep Indigo,Tech,tech deep indigo sophisticated modern,#3730A3,#312E81,#6366F1,#EEF2FF,#FFFFFF,#1E1B4B,#2D2A72,#E0E7FF,#22C55E,#EF4444,#F59E0B,#818CF8,#13112E,#1E1B4B,#EEF2FF,Deep indigo tech
120,Warm Sunset,Social,social warm sunset orange pink,#F97316,#EA580C,#EC4899,#FFF7F5,#FFFFFF,#450A0A,#7F1D1D,#FFE4E6,#16A34A,#EF4444,#F59E0B,#FB923C,#270606,#450A0A,#FFF5F5,Vibrant warm sunset social
121,Petroleum Blue,Finance,finance petroleum blue reliable safe,#0B4F6C,#093C52,#0EA5E9,#EEF9FF,#FFFFFF,#051E2A,#083040,#BAE6FD,#16A34A,#EF4444,#D97706,#38BDF8,#020D12,#051E2A,#E0F2FE,Reliable petroleum blue finance
122,Sage Garden,Wellness,wellness sage garden organic natural,#84CC16,#65A30D,#A3E635,#FAFFF2,#FFFFFF,#1A2E05,#365314,#D9F99D,#16A34A,#EF4444,#CA8A04,#A3E635,#0F1A00,#1A2E05,#F7FEE7,Calm sage garden wellness
123,Retro Mustard,Vintage,vintage retro mustard warm nostalgic,#A16207,#854D0E,#EAB308,#FFFBEB,#FFFFF4,#451A03,#78350F,#FEF3C7,#16A34A,#EF4444,#D97706,#FDE047,#1C0700,#451A03,#FEF9C3,Nostalgic retro mustard
124,Dark Teal,Tech,tech dark teal modern clean,#0D9488,#0F766E,#2DD4BF,#031A19,#062C2A,#F0FDFA,#5EEAD4,#0D3330,#22C55E,#EF4444,#F59E0B,#2DD4BF,#01100F,#031A19,#CCFBF1,Dark teal technology
125,White Space,Minimal,minimal white space clean breathing room,#E5E7EB,#D1D5DB,#3B82F6,#FFFFFF,#FAFAFA,#111827,#6B7280,#F3F4F6,#22C55E,#EF4444,#F59E0B,#9CA3AF,#030712,#111827,#F9FAFB,Ultra minimal white space
126,Jewel Emerald,Luxury,luxury emerald jewel gemstone,#059669,#047857,#10B981,#ECFDF5,#FFFFFF,#022C22,#065F46,#A7F3D0,#16A34A,#EF4444,#CA8A04,#34D399,#011A14,#022C22,#D1FAE5,Jewel-toned emerald luxury
127,Solar Flare,Energy,energy solar vibrant yellow warm,#CA8A04,#B45309,#EAB308,#FEFCE8,#FFFFFF,#422006,#713F12,#FEF9C3,#16A34A,#EF4444,#D97706,#FACC15,#1C0A00,#422006,#FEFCE8,Solar energy warm palette
128,Arctic Night,Premium,premium arctic night dark cold blue,#1E3A5F,#0F2744,#60A5FA,#020B14,#041825,#DBEAFE,#93C5FD,#0F2744,#22C55E,#EF4444,#F59E0B,#93C5FD,#010609,#020B14,#DBEAFE,Premium arctic night palette
129,Neon Green,Gaming,gaming neon green electric cyber,#16A34A,#15803D,#4ADE80,#030A04,#071510,#ECFDF5,#86EFAC,#0D2B18,#22C55E,#EF4444,#F59E0B,#4ADE80,#010502,#030A04,#DCFCE7,Gaming neon green
130,Midnight Blue,Premium,premium midnight deep blue elegant,#1E3A8A,#1E3A5F,#3B82F6,#020B20,#051233,#EFF6FF,#93C5FD,#0F2040,#22C55E,#EF4444,#F59E0B,#60A5FA,#010512,#020B20,#DBEAFE,Premium midnight blue
131,Warm Terracotta Red,Lifestyle,terracotta red warm lifestyle earthy,#B91C1C,#991B1B,#F87171,#FFF5F5,#FFFFFF,#450A0A,#7F1D1D,#FEE2E2,#16A34A,#EF4444,#F59E0B,#EF4444,#270606,#450A0A,#FFF5F5,Warm terracotta lifestyle
132,Nordic Frost,Design,nordic frost white cool minimal,#94A3B8,#64748B,#0EA5E9,#F8FAFD,#FFFFFF,#0F172A,#334155,#E2E8F0,#22C55E,#EF4444,#F59E0B,#BAE6FD,#020617,#0F172A,#F0F9FF,Nordic frost minimal
133,Vivid Blue,Consumer,consumer vivid blue energetic,#1D4ED8,#1E3A8A,#38BDF8,#EFF6FF,#FFFFFF,#1E1B4B,#1E3A8A,#DBEAFE,#16A34A,#EF4444,#F59E0B,#60A5FA,#0F0E2E,#1E1B4B,#EFF6FF,Energetic vivid blue consumer
134,Gold Rush,Finance,finance gold investment wealth premium,#B45309,#92400E,#F59E0B,#FFFBEB,#FFFFFF,#451A03,#78350F,#FEF3C7,#16A34A,#EF4444,#D97706,#FCD34D,#1C0700,#451A03,#FFFBEB,Wealth and investment gold
135,Cyber Yellow,Tech,tech cyber yellow electric vibrant,#CA8A04,#A16207,#EAB308,#0A0800,#1A1400,#FEFCE8,#FDE047,#2A2200,#22C55E,#EF4444,#F59E0B,#FACC15,#050400,#0A0800,#FEFCE8,Electric cyber yellow tech
136,Burgundy Wine,Premium,premium burgundy wine deep red,#881337,#6A0F2C,#E11D48,#FFF1F2,#FFFFFF,#4C0519,#881337,#FFE4E6,#16A34A,#EF4444,#F59E0B,#FB7185,#2D0010,#4C0519,#FFF5F6,Deep burgundy wine premium
137,Coral Reef,Consumer,consumer coral reef vibrant ocean,#F97316,#EA580C,#FB923C,#FFF7ED,#FFFFFF,#1C0700,#7C2D12,#FFEDD5,#16A34A,#EF4444,#EAB308,#FDBA74,#0A0400,#1C0700,#FEF3EE,Vibrant coral reef consumer
138,Academic Maroon,Education,education academic maroon university,#9F1239,#881337,#F43F5E,#FFF1F2,#FFFFFF,#4C0519,#881337,#FFE4E6,#16A34A,#EF4444,#F59E0B,#FB7185,#2D0010,#4C0519,#FFF5F6,Academic institution maroon
139,Deep Forest,Nature,nature deep forest environmental organic,#14532D,#15803D,#4ADE80,#071A0D,#0D2B18,#ECFDF5,#4ADE80,#1A4D2E,#16A34A,#EF4444,#CA8A04,#86EFAC,#030D06,#071A0D,#D1FAE5,Deep forest environmental
140,Modern Gold,Finance,finance modern gold premium banking,#D4AF37,#B8960C,#FFD700,#FAFAF5,#FFFFFF,#0A0800,#3D2B05,#F5E8AA,#16A34A,#EF4444,#D97706,#FFD700,#050400,#0A0800,#FEFCE8,Modern gold financial
141,Turquoise Modern,Design,design modern turquoise refreshing,#06B6D4,#0891B2,#67E8F9,#ECFEFF,#FFFFFF,#083344,#164E63,#CFFAFE,#22C55E,#EF4444,#F59E0B,#22D3EE,#042430,#083344,#CFFAFE,Modern turquoise design
142,Ink Blue,Professional,professional ink blue premium clean,#1E3A5F,#162D4A,#3B82F6,#F0F6FD,#FFFFFF,#0A1628,#1E3A5F,#D4E5F5,#16A34A,#EF4444,#D97706,#60A5FA,#060D18,#0A1628,#E8F0FC,Clean ink blue professional
143,Burnt Sienna,Creative,creative burnt sienna warm earthy,#A16207,#92400E,#D97706,#FFFBEB,#FFFFFF,#451A03,#78350F,#FEF3C7,#16A34A,#EF4444,#D97706,#F59E0B,#1C0700,#451A03,#FFFBEB,Warm earthy burnt sienna
144,Arctic White,Tech,tech arctic white clean icy,#E2E8F0,#CBD5E1,#0EA5E9,#FFFFFF,#FAFAFA,#0F172A,#475569,#E2E8F0,#22C55E,#EF4444,#F59E0B,#94A3B8,#020617,#0F172A,#F1F5F9,Arctic clean tech white
145,Deep Sapphire,Luxury,luxury deep sapphire gem blue,#1E3A8A,#1E2F6E,#3B82F6,#EFF6FF,#FFFFFF,#0F1E4E,#1E2F70,#DBEAFE,#16A34A,#EF4444,#F59E0B,#60A5FA,#07102A,#0F1E4E,#EFF6FF,Deep sapphire luxury
146,Electric Lime,Gaming,gaming lime electric neon bright,#65A30D,#4D7C0F,#BEF264,#FAFFF0,#FFFFFF,#1A2E05,#365314,#D9F99D,#16A34A,#EF4444,#CA8A04,#A3E635,#0F1A00,#1A2E05,#F7FEE7,Gaming electric lime
147,Charcoal Red,Agency,agency creative bold charcoal red,#DC2626,#B91C1C,#1F2937,#1F2937,#374151,#F9FAFB,#D1D5DB,#4B5563,#22C55E,#EF4444,#F59E0B,#F87171,#030712,#111827,#F9FAFB,Bold agency charcoal red
148,Pastel Peach,Consumer,consumer pastel peach soft warm,#FCA5A5,#F87171,#FB923C,#FFF5F5,#FFFFFF,#7F1D1D,#9A3412,#FFEDD5,#16A34A,#EF4444,#F59E0B,#FECACA,#3B0B0B,#7F1D1D,#FFF5F5,Soft pastel peach consumer
149,Teal Minimalist,Design,design teal minimal modern clean,#0D9488,#0F766E,#2DD4BF,#F0FDFA,#FFFFFF,#042F2E,#0F4540,#CCFBF1,#16A34A,#EF4444,#F59E0B,#5EEAD4,#011A1A,#042F2E,#F0FDFA,Clean teal minimal
150,Black White Gold,Luxury,luxury black white gold classic,#0A0A0A,#1A1A1A,#D4AF37,#FFFFFF,#FAFAFA,#0A0A0A,#404040,#E5E5E5,#22C55E,#EF4444,#F59E0B,#FFD700,#000000,#050505,#FAFAFA,Classic black white gold
151,Violet Neon,Tech,tech violet neon modern electric,#7C3AED,#6D28D9,#E879F9,#050010,#0F0020,#F5F3FF,#DDD6FE,#1E0F40,#22C55E,#EF4444,#F59E0B,#C084FC,#020008,#050010,#EDE9FE,Neon violet tech
152,Warm Gold,Premium,premium warm gold investment wealth,#B45309,#92400E,#EAB308,#FFFBEB,#FFFFFF,#451A03,#78350F,#FEF3C7,#16A34A,#EF4444,#D97706,#FCD34D,#1C0700,#451A03,#FFFBEB,Premium warm gold
153,Pale Blue,Healthcare,healthcare pale blue gentle calming,#BAE6FD,#7DD3FC,#0EA5E9,#F0F9FF,#FFFFFF,#0C4A6E,#0369A1,#E0F2FE,#16A34A,#EF4444,#F59E0B,#38BDF8,#082F49,#0C4A6E,#E0F2FE,Gentle calming healthcare
154,Gunmetal,Industrial,industrial gunmetal grey dark pro,#374151,#1F2937,#9CA3AF,#111827,#1F2937,#F9FAFB,#9CA3AF,#374151,#22C55E,#EF4444,#F59E0B,#D1D5DB,#030712,#111827,#F9FAFB,Industrial gunmetal professional
155,Bright Cyan,Technology,technology bright cyan electric fresh,#06B6D4,#0891B2,#22D3EE,#ECFEFF,#FFFFFF,#083344,#164E63,#A5F3FC,#22C55E,#EF4444,#F59E0B,#67E8F9,#042430,#083344,#CFFAFE,Fresh bright cyan tech
156,Papaya,Lifestyle,lifestyle papaya tropical warm vibrant,#EA580C,#C2410C,#FB923C,#FFF7ED,#FFFFFF,#1C0700,#7C2D12,#FFEDD5,#16A34A,#EF4444,#EAB308,#FDBA74,#0A0400,#1C0700,#FEF3EE,Tropical papaya lifestyle
157,Soft Lilac,Design,design soft lilac feminine gentle,#C4B5FD,#A78BFA,#DDD6FE,#FAF5FF,#FFFFFF,#2E1065,#4C1D95,#EDE9FE,#16A34A,#EF4444,#F59E0B,#DDD6FE,#1E0A3F,#2E1065,#F5F3FF,Soft lilac gentle design
158,Tan Brown,Neutral,neutral tan brown warm organic,#D4A27A,#C08050,#92400E,#FEF9F4,#FFFFFF,#2D1504,#5C3110,#F5E0C8,#16A34A,#EF4444,#D97706,#D4A27A,#100700,#2D1504,#FDF5EC,Warm organic tan brown
159,Pure Indigo,SaaS,saas pure indigo brand clean,#4338CA,#3730A3,#6366F1,#EEF2FF,#FFFFFF,#1E1B4B,#2E2B80,#E0E7FF,#22C55E,#EF4444,#F59E0B,#818CF8,#13112E,#1E1B4B,#EEF2FF,Pure indigo SaaS
160,Wine Red,Food,food wine dining deep red premium,#881337,#6A0F2C,#DC2626,#FFF5F5,#FFFFFF,#4C0519,#881337,#FFE4E6,#16A34A,#EF4444,#F59E0B,#FB7185,#2D0010,#4C0519,#FFF5F6,Deep wine dining red
161,Premium Service,Service,service premium professional clean minimal,#1E3A5F,#0F2744,#C9A84C,#F8F8F2,#FFFFFF,#0A0A14,#1A2744,#E8E4D8,#22C55E,#EF4444,#D97706,#D4AF37,#050510,#0A0A14,#FAFAF5,Premium service clean palette
